No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q19.html"",""令和5年春期 問19"")",2026/8/30
2,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q6.html"",""平成29年春期 問6"")",2026/8/30
3,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_haru/q7.html"",""令和4年春期 問7"")",2026/8/30
4,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q13.html"",""平成18年春期 問13"")",2026/8/30
5,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q7.html"",""平成24年秋期 問7"")",2026/8/30
6,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q9.html"",""平成18年秋期 問9"")",2026/8/30
7,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q8.html"",""平成23年秋期 問8"")",2026/8/30
8,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q6.html"",""平成24年秋期 問6"")",2026/8/30
9,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q10.html"",""平成20年春期 問10"")",2026/8/30
10,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_aki/q8.html"",""平成22年秋期 問8"")",2026/8/30
11,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q36.html"",""平成18年春期 問36"")",2026/8/30
12,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_toku/q7.html"",""平成23年特別 問7"")",2026/8/30
13,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q6.html"",""平成27年秋期 問6"")",2026/8/30
14,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q5.html"",""平成22年春期 問5"")",2026/8/30
15,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q7.html"",""平成28年春期 問7"")",2026/8/30
16,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q5.html"",""令和7年春期 問5"")",2026/8/30
17,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_haru/q6.html"",""令和4年春期 問6"")",2026/8/30
18,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q9.html"",""平成20年秋期 問9"")",2026/8/30
19,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q6.html"",""令和7年秋期 問6"")",2026/8/30
20,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q10.html"",""平成20年秋期 問10"")",2026/8/30
21,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q13.html"",""平成20年春期 問13"")",2026/8/30
22,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q36.html"",""平成17年秋期 問36"")",2026/8/30
23,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q7.html"",""平成25年春期 問7"")",2026/8/30
24,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q7.html"",""令和7年秋期 問7"")",2026/8/30
25,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_aki/q6.html"",""令和6年秋期 問6"")",2026/8/30
26,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_aki/q13.html"",""平成19年秋期 問13"")",2026/8/30
27,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q5.html"",""令和6年春期 問5"")",2026/8/30
28,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q10.html"",""平成18年春期 問10"")",2026/8/30
29,○,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/26_haru/q7.html"",""平成26年春期 問7"")",2026/8/30
30,×,テクノロジ系,基礎理論,アルゴリズムとプログラミング,"=HYPERLINK(""https://www.ap-siken.com/kakomon/31_haru/q17.html"",""平成31年春期 問17"")",2026/8/30
