No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q13.html"",""令和7年秋期 問13"")",2026/9/4
2,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q12.html"",""令和5年秋期 問12"")",2026/9/4
3,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/26_haru/q12.html"",""平成26年春期 問12"")",2026/9/4
4,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q35.html"",""平成18年春期 問35"")",2026/9/4
5,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q12.html"",""令和6年春期 問12"")",2026/9/4
6,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q29.html"",""平成19年春期 問29"")",2026/9/4
7,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/26_aki/q11.html"",""平成26年秋期 問11"")",2026/9/4
8,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q32.html"",""平成17年春期 問32"")",2026/9/4
9,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q12.html"",""令和4年秋期 問12"")",2026/9/4
10,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q32.html"",""平成19年春期 問32"")",2026/9/4
11,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_haru/q14.html"",""平成24年春期 問14"")",2026/9/4
12,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_aki/q16.html"",""平成21年秋期 問16"")",2026/9/4
13,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q68.html"",""平成20年春期 問68"")",2026/9/4
14,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q16.html"",""平成24年秋期 問16"")",2026/9/4
15,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q15.html"",""令和5年秋期 問15"")",2026/9/4
16,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q13.html"",""令和5年秋期 問13"")",2026/9/4
17,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q34.html"",""平成20年秋期 問34"")",2026/9/4
18,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q13.html"",""令和2年秋期 問13"")",2026/9/4
19,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_toku/q14.html"",""平成23年特別 問14"")",2026/9/4
20,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_aki/q69.html"",""平成19年秋期 問69"")",2026/9/4
21,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q15.html"",""平成29年春期 問15"")",2026/9/4
22,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q33.html"",""平成17年秋期 問33"")",2026/9/4
23,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q14.html"",""平成23年秋期 問14"")",2026/9/4
24,○,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q29.html"",""平成17年春期 問29"")",2026/9/4
25,×,テクノロジ系,コンピュータシステム,システム構成要素,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q13.html"",""令和3年秋期 問13"")",2026/9/4
