No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q65.html"",""平成23年秋期 問65"")",2026/9/26
2,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/31_haru/q60.html"",""平成31年春期 問60"")",2026/9/26
3,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q63.html"",""平成30年秋期 問63"")",2026/9/26
4,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q64.html"",""平成27年春期 問64"")",2026/9/26
5,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q64.html"",""令和4年秋期 問64"")",2026/9/26
6,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q62.html"",""平成23年秋期 問62"")",2026/9/26
7,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/26_haru/q59.html"",""平成26年春期 問59"")",2026/9/26
8,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_aki/q60.html"",""平成22年秋期 問60"")",2026/9/26
9,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q61.html"",""平成30年春期 問61"")",2026/9/26
10,×,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q58.html"",""令和6年春期 問58"")",2026/9/26
11,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_aki/q61.html"",""令和6年秋期 問61"")",2026/9/26
12,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_haru/q62.html"",""令和3年春期 問62"")",2026/9/26
13,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q59.html"",""平成28年春期 問59"")",2026/9/26
14,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_aki/q65.html"",""令和6年秋期 問65"")",2026/9/26
15,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_aki/q62.html"",""平成29年秋期 問62"")",2026/9/26
16,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_haru/q58.html"",""平成21年春期 問58"")",2026/9/26
17,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q58.html"",""平成22年春期 問58"")",2026/9/26
18,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q65.html"",""平成28年秋期 問65"")",2026/9/26
19,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q66.html"",""令和7年秋期 問66"")",2026/9/26
20,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q61.html"",""令和6年春期 問61"")",2026/9/26
21,×,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q65.html"",""平成29年春期 問65"")",2026/9/26
22,×,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_aki/q59.html"",""平成21年秋期 問59"")",2026/9/26
23,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q64.html"",""令和7年春期 問64"")",2026/9/26
24,○,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q57.html"",""平成27年春期 問57"")",2026/9/26
25,×,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q61.html"",""平成25年春期 問61"")",2026/9/26
26,○,ストラテジ系,システム戦略,システム企画,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q65.html"",""令和7年春期 問65"")",2026/9/26
27,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_aki/q61.html"",""平成25年秋期 問61"")",2026/9/26
28,×,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_haru/q59.html"",""平成24年春期 問59"")",2026/9/26
29,×,マネジメント系,サービスマネジメント,システム監査,"=HYPERLINK(""https://www.ap-siken.com/kakomon/01_aki/q58.html"",""令和元年秋期 問58"")",2026/9/26
30,○,ストラテジ系,システム戦略,システム戦略,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_aki/q63.html"",""平成29年秋期 問63"")",2026/9/26
