No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_aki/q47.html"",""平成21年秋期 問47"")",2026/9/23
2,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/01_aki/q48.html"",""令和元年秋期 問48"")",2026/9/23
3,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_aki/q42.html"",""平成19年秋期 問42"")",2026/9/23
4,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q50.html"",""平成25年春期 問50"")",2026/9/23
5,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_haru/q48.html"",""平成24年春期 問48"")",2026/9/23
6,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q49.html"",""平成25年春期 問49"")",2026/9/23
7,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q46.html"",""令和6年春期 問46"")",2026/9/23
8,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q46.html"",""平成20年春期 問46"")",2026/9/23
9,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q47.html"",""令和5年秋期 問47"")",2026/9/23
10,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q50.html"",""平成27年春期 問50"")",2026/9/23
11,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_haru/q49.html"",""令和4年春期 問49"")",2026/9/23
12,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q48.html"",""平成30年秋期 問48"")",2026/9/23
13,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q48.html"",""平成29年春期 問48"")",2026/9/23
14,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q46.html"",""令和7年秋期 問46"")",2026/9/23
15,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q47.html"",""令和5年春期 問47"")",2026/9/23
16,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q50.html"",""令和7年春期 問50"")",2026/9/23
17,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q42.html"",""平成17年秋期 問42"")",2026/9/23
18,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_haru/q47.html"",""令和3年春期 問47"")",2026/9/23
19,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q46.html"",""平成18年春期 問46"")",2026/9/23
20,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q47.html"",""平成20年秋期 問47"")",2026/9/23
21,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q40.html"",""平成20年春期 問40"")",2026/9/23
22,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q47.html"",""平成27年秋期 問47"")",2026/9/23
23,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q46.html"",""平成27年秋期 問46"")",2026/9/23
24,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q49.html"",""平成28年秋期 問49"")",2026/9/23
25,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q48.html"",""平成28年春期 問48"")",2026/9/23
26,×,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_aki/q22.html"",""平成22年秋期 問22"")",2026/9/23
27,×,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q42.html"",""平成20年秋期 問42"")",2026/9/23
28,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_haru/q43.html"",""平成21年春期 問43"")",2026/9/23
29,○,テクノロジ系,開発技術,システム開発技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_haru/q48.html"",""令和3年春期 問48"")",2026/9/23
30,○,テクノロジ系,開発技術,ソフトウェア開発管理技術,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q50.html"",""令和7年秋期 問50"")",2026/9/23
