No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q44.html"",""令和6年春期 問44"")",2026/9/21
2,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q39.html"",""令和7年秋期 問39"")",2026/9/21
3,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_haru/q44.html"",""平成24年春期 問44"")",2026/9/21
4,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q38.html"",""令和7年春期 問38"")",2026/9/21
5,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_aki/q39.html"",""平成22年秋期 問39"")",2026/9/21
6,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_aki/q43.html"",""平成22年秋期 問43"")",2026/9/21
7,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q42.html"",""令和7年秋期 問42"")",2026/9/21
8,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/26_aki/q40.html"",""平成26年秋期 問40"")",2026/9/21
9,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q40.html"",""平成24年秋期 問40"")",2026/9/21
10,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q33.html"",""平成24年秋期 問33"")",2026/9/21
11,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q41.html"",""令和7年春期 問41"")",2026/9/21
12,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_aki/q39.html"",""平成21年秋期 問39"")",2026/9/21
13,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q71.html"",""平成19年春期 問71"")",2026/9/21
14,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q43.html"",""平成27年秋期 問43"")",2026/9/21
15,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_aki/q40.html"",""平成25年秋期 問40"")",2026/9/21
16,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_haru/q41.html"",""平成21年春期 問41"")",2026/9/21
17,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q43.html"",""令和3年秋期 問43"")",2026/9/21
18,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q43.html"",""令和7年春期 問43"")",2026/9/21
19,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q43.html"",""平成27年春期 問43"")",2026/9/21
20,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q40.html"",""令和2年秋期 問40"")",2026/9/21
21,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q74.html"",""平成20年春期 問74"")",2026/9/21
22,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q45.html"",""平成30年秋期 問45"")",2026/9/21
23,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q38.html"",""平成25年春期 問38"")",2026/9/21
24,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q45.html"",""令和5年春期 問45"")",2026/9/21
25,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_haru/q42.html"",""令和3年春期 問42"")",2026/9/21
26,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q38.html"",""令和6年春期 問38"")",2026/9/21
27,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q43.html"",""平成30年秋期 問43"")",2026/9/21
28,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/01_aki/q39.html"",""令和元年秋期 問39"")",2026/9/21
29,○,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q42.html"",""平成27年秋期 問42"")",2026/9/21
30,×,テクノロジ系,技術要素,セキュリティ,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q71.html"",""平成17年秋期 問71"")",2026/9/21
