No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q15.html"",""令和7年春期 問15"")",2026/9/6
2,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q27.html"",""平成18年秋期 問27"")",2026/9/6
3,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q26.html"",""平成20年秋期 問26"")",2026/9/6
4,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_haru/q18.html"",""令和4年春期 問18"")",2026/9/6
5,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_aki/q21.html"",""平成21年秋期 問21"")",2026/9/6
6,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q18.html"",""平成28年秋期 問18"")",2026/9/6
7,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q24.html"",""平成20年秋期 問24"")",2026/9/6
8,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q27.html"",""平成20年春期 問27"")",2026/9/6
9,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q26.html"",""平成19年春期 問26"")",2026/9/6
10,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q18.html"",""令和7年秋期 問18"")",2026/9/6
11,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q19.html"",""平成22年春期 問19"")",2026/9/6
12,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q19.html"",""令和5年秋期 問19"")",2026/9/6
13,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q28.html"",""平成17年秋期 問28"")",2026/9/6
14,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q17.html"",""令和3年秋期 問17"")",2026/9/6
15,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q37.html"",""平成17年秋期 問37"")",2026/9/6
16,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q28.html"",""平成19年春期 問28"")",2026/9/6
17,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q18.html"",""平成29年春期 問18"")",2026/9/6
18,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q18.html"",""平成27年春期 問18"")",2026/9/6
19,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q19.html"",""平成24年秋期 問19"")",2026/9/6
20,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_aki/q20.html"",""平成25年秋期 問20"")",2026/9/6
21,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q19.html"",""令和7年秋期 問19"")",2026/9/6
22,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q24.html"",""平成18年秋期 問24"")",2026/9/6
23,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q38.html"",""平成18年秋期 問38"")",2026/9/6
24,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_aki/q18.html"",""平成29年秋期 問18"")",2026/9/6
25,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q19.html"",""令和6年春期 問19"")",2026/9/6
26,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q19.html"",""平成30年春期 問19"")",2026/9/6
27,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_aki/q18.html"",""平成21年秋期 問18"")",2026/9/6
28,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q26.html"",""平成20年春期 問26"")",2026/9/6
29,○,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_aki/q28.html"",""平成19年秋期 問28"")",2026/9/6
30,×,テクノロジ系,コンピュータシステム,ソフトウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q21.html"",""平成23年秋期 問21"")",2026/9/6
