No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q30.html"",""平成30年秋期 問30"")",2026/9/11
2,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q66.html"",""平成19年春期 問66"")",2026/9/11
3,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q30.html"",""平成22年春期 問30"")",2026/9/11
4,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q29.html"",""平成30年春期 問29"")",2026/9/11
5,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q30.html"",""平成27年春期 問30"")",2026/9/11
6,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_aki/q68.html"",""平成19年秋期 問68"")",2026/9/11
7,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q28.html"",""令和3年秋期 問28"")",2026/9/11
8,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q67.html"",""平成17年秋期 問67"")",2026/9/11
9,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q26.html"",""令和7年秋期 問26"")",2026/9/11
10,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_aki/q31.html"",""平成25年秋期 問31"")",2026/9/11
11,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q26.html"",""令和3年秋期 問26"")",2026/9/11
12,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q61.html"",""平成19年春期 問61"")",2026/9/11
13,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q26.html"",""平成28年秋期 問26"")",2026/9/11
14,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q60.html"",""平成17年春期 問60"")",2026/9/11
15,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_toku/q29.html"",""平成23年特別 問29"")",2026/9/11
16,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_haru/q30.html"",""平成24年春期 問30"")",2026/9/11
17,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q29.html"",""平成28年秋期 問29"")",2026/9/11
18,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q26.html"",""令和5年春期 問26"")",2026/9/11
19,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_toku/q30.html"",""平成23年特別 問30"")",2026/9/11
20,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_haru/q34.html"",""平成21年春期 問34"")",2026/9/11
21,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q28.html"",""令和7年春期 問28"")",2026/9/11
22,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q27.html"",""平成28年春期 問27"")",2026/9/11
23,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q62.html"",""平成20年春期 問62"")",2026/9/11
24,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_aki/q67.html"",""平成19年秋期 問67"")",2026/9/11
25,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q26.html"",""平成30年春期 問26"")",2026/9/11
26,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q28.html"",""平成27年春期 問28"")",2026/9/11
27,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q29.html"",""平成27年秋期 問29"")",2026/9/11
28,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q38.html"",""平成20年秋期 問38"")",2026/9/11
29,○,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q66.html"",""平成20年秋期 問66"")",2026/9/11
30,×,テクノロジ系,技術要素,データベース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q28.html"",""令和5年春期 問28"")",2026/9/11
