No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q22.html"",""令和5年春期 問22"")",2026/9/9
2,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q24.html"",""平成25年春期 問24"")",2026/9/9
3,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q12.html"",""平成23年秋期 問12"")",2026/9/9
4,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q23.html"",""令和2年秋期 問23"")",2026/9/9
5,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q23.html"",""平成28年秋期 問23"")",2026/9/9
6,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/01_aki/q20.html"",""令和元年秋期 問20"")",2026/9/9
7,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_aki/q23.html"",""令和6年秋期 問23"")",2026/9/9
8,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q20.html"",""令和3年秋期 問20"")",2026/9/9
9,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_haru/q24.html"",""平成21年春期 問24"")",2026/9/9
10,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q21.html"",""令和4年秋期 問21"")",2026/9/9
11,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q23.html"",""平成30年春期 問23"")",2026/9/9
12,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q24.html"",""平成28年春期 問24"")",2026/9/9
13,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_haru/q21.html"",""令和3年春期 問21"")",2026/9/9
14,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q21.html"",""平成30年春期 問21"")",2026/9/9
15,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q20.html"",""令和7年秋期 問20"")",2026/9/9
16,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_aki/q22.html"",""令和6年秋期 問22"")",2026/9/9
17,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q22.html"",""令和3年秋期 問22"")",2026/9/9
18,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_aki/q24.html"",""平成25年秋期 問24"")",2026/9/9
19,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q22.html"",""令和6年春期 問22"")",2026/9/9
20,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/31_haru/q20.html"",""平成31年春期 問20"")",2026/9/9
21,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q23.html"",""令和5年秋期 問23"")",2026/9/9
22,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q24.html"",""令和5年春期 問24"")",2026/9/9
23,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_haru/q24.html"",""令和3年春期 問24"")",2026/9/9
24,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q23.html"",""平成29年春期 問23"")",2026/9/9
25,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_haru/q23.html"",""平成24年春期 問23"")",2026/9/9
26,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q19.html"",""令和7年春期 問19"")",2026/9/9
27,×,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q22.html"",""令和2年秋期 問22"")",2026/9/9
28,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q22.html"",""令和4年秋期 問22"")",2026/9/9
29,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_aki/q23.html"",""平成29年秋期 問23"")",2026/9/9
30,○,テクノロジ系,コンピュータシステム,ハードウェア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_toku/q25.html"",""平成23年特別 問25"")",2026/9/9
