No.,正誤,分野名,大分類,中分類,出典,学習日
1,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_aki/q53.html"",""令和3年秋期 問53"")",2026/9/24
2,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q54.html"",""平成24年秋期 問54"")",2026/9/24
3,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q56.html"",""平成29年春期 問56"")",2026/9/24
4,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_haru/q53.html"",""平成24年春期 問53"")",2026/9/24
5,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q55.html"",""令和5年秋期 問55"")",2026/9/24
6,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q52.html"",""平成22年春期 問52"")",2026/9/24
7,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/01_aki/q56.html"",""令和元年秋期 問56"")",2026/9/24
8,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q51.html"",""平成22年春期 問51"")",2026/9/24
9,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_aki/q50.html"",""平成17年秋期 問50"")",2026/9/24
10,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q53.html"",""平成27年秋期 問53"")",2026/9/24
11,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q55.html"",""平成28年春期 問55"")",2026/9/24
12,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q52.html"",""令和4年秋期 問52"")",2026/9/24
13,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_aki/q45.html"",""平成18年秋期 問45"")",2026/9/24
14,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q51.html"",""平成27年春期 問51"")",2026/9/24
15,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/26_haru/q56.html"",""平成26年春期 問56"")",2026/9/24
16,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_aki/q51.html"",""平成25年秋期 問51"")",2026/9/24
17,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q53.html"",""平成25年春期 問53"")",2026/9/24
18,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q50.html"",""平成23年秋期 問50"")",2026/9/24
19,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q51.html"",""平成28年春期 問51"")",2026/9/24
20,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_toku/q54.html"",""平成23年特別 問54"")",2026/9/24
21,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/31_haru/q54.html"",""平成31年春期 問54"")",2026/9/24
22,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_haru/q57.html"",""平成21年春期 問57"")",2026/9/24
23,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q52.html"",""令和2年秋期 問52"")",2026/9/24
24,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q55.html"",""令和7年春期 問55"")",2026/9/24
25,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q52.html"",""平成27年春期 問52"")",2026/9/24
26,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q54.html"",""平成25年春期 問54"")",2026/9/24
27,○,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q51.html"",""令和4年秋期 問51"")",2026/9/24
28,×,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q51.html"",""平成20年秋期 問51"")",2026/9/24
29,×,マネジメント系,プロジェクトマネジメント,プロジェクトマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q52.html"",""平成30年春期 問52"")",2026/9/24
30,○,マネジメント系,サービスマネジメント,サービスマネジメント,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q55.html"",""平成30年春期 問55"")",2026/9/24
