No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q22.html"",""令和7年春期 問22"")",2026/9/10
2,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q24.html"",""令和6年春期 問24"")",2026/9/10
3,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q27.html"",""平成22年春期 問27"")",2026/9/10
4,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_aki/q24.html"",""平成29年秋期 問24"")",2026/9/10
5,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q23.html"",""令和7年春期 問23"")",2026/9/10
6,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/26_haru/q24.html"",""平成26年春期 問24"")",2026/9/10
7,×,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q26.html"",""平成23年秋期 問26"")",2026/9/10
8,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q25.html"",""令和5年秋期 問25"")",2026/9/10
9,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q26.html"",""平成28年春期 問26"")",2026/9/10
10,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_aki/q23.html"",""平成24年秋期 問23"")",2026/9/10
11,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_aki/q27.html"",""平成21年秋期 問27"")",2026/9/10
12,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q73.html"",""平成19年春期 問73"")",2026/9/10
13,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/25_haru/q26.html"",""平成25年春期 問26"")",2026/9/10
14,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_aki/q25.html"",""平成27年秋期 問25"")",2026/9/10
15,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_haru/q25.html"",""令和4年春期 問25"")",2026/9/10
16,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/27_haru/q25.html"",""平成27年春期 問25"")",2026/9/10
17,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q21.html"",""平成20年秋期 問21"")",2026/9/10
18,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/31_haru/q24.html"",""平成31年春期 問24"")",2026/9/10
19,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q25.html"",""平成30年春期 問25"")",2026/9/10
20,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q24.html"",""令和7年秋期 問24"")",2026/9/10
21,×,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/03_haru/q26.html"",""令和3年春期 問26"")",2026/9/10
22,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_aki/q25.html"",""平成28年秋期 問25"")",2026/9/10
23,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q22.html"",""平成17年春期 問22"")",2026/9/10
24,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q55.html"",""平成18年春期 問55"")",2026/9/10
25,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q25.html"",""令和5年春期 問25"")",2026/9/10
26,×,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/23_aki/q27.html"",""平成23年秋期 問27"")",2026/9/10
27,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q25.html"",""令和4年秋期 問25"")",2026/9/10
28,○,テクノロジ系,技術要素,情報メディア,"=HYPERLINK(""https://www.ap-siken.com/kakomon/26_aki/q24.html"",""平成26年秋期 問24"")",2026/9/10
29,×,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_aki/q25.html"",""平成21年秋期 問25"")",2026/9/10
30,○,テクノロジ系,技術要素,ユーザーインタフェース,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_haru/q24.html"",""平成30年春期 問24"")",2026/9/10
