No.,正誤,分野名,大分類,中分類,出典,学習日
1,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/01_aki/q4.html"",""令和元年秋期 問4"")",2026/8/29
2,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q1.html"",""令和2年秋期 問1"")",2026/8/29
3,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q2.html"",""令和6年春期 問2"")",2026/8/29
4,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q1.html"",""平成19年春期 問1"")",2026/8/29
5,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_aki/q1.html"",""令和6年秋期 問1"")",2026/8/29
6,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q1.html"",""令和6年春期 問1"")",2026/8/29
7,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_haru/q4.html"",""平成22年春期 問4"")",2026/8/29
8,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q2.html"",""平成19年春期 問2"")",2026/8/29
9,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q1.html"",""平成29年春期 問1"")",2026/8/29
10,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/24_haru/q4.html"",""平成24年春期 問4"")",2026/8/29
11,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q1.html"",""平成20年秋期 問1"")",2026/8/29
12,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_aki/q25.html"",""令和7年秋期 問25"")",2026/8/29
13,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/29_haru/q5.html"",""平成29年春期 問5"")",2026/8/29
14,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q2.html"",""令和5年春期 問2"")",2026/8/29
15,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q3.html"",""平成19年春期 問3"")",2026/8/29
16,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/02_aki/q4.html"",""令和2年秋期 問4"")",2026/8/29
17,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_haru/q3.html"",""平成20年春期 問3"")",2026/8/29
18,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/20_aki/q4.html"",""平成20年秋期 問4"")",2026/8/29
19,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/30_aki/q4.html"",""平成30年秋期 問4"")",2026/8/29
20,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/07_haru/q3.html"",""令和7年春期 問3"")",2026/8/29
21,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/28_haru/q3.html"",""平成28年春期 問3"")",2026/8/29
22,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/19_haru/q6.html"",""平成19年春期 問6"")",2026/8/29
23,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_haru/q4.html"",""令和5年春期 問4"")",2026/8/29
24,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/21_haru/q3.html"",""平成21年春期 問3"")",2026/8/29
25,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/18_haru/q5.html"",""平成18年春期 問5"")",2026/8/29
26,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/06_haru/q3.html"",""令和6年春期 問3"")",2026/8/29
27,×,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/22_aki/q4.html"",""平成22年秋期 問4"")",2026/8/29
28,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/04_aki/q4.html"",""令和4年秋期 問4"")",2026/8/29
29,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/17_haru/q4.html"",""平成17年春期 問4"")",2026/8/29
30,○,テクノロジ系,基礎理論,基礎理論,"=HYPERLINK(""https://www.ap-siken.com/kakomon/05_aki/q3.html"",""令和5年秋期 問3"")",2026/8/29
